left_path,right_path,depth,head_sizes_left,head_sizes_right,real_head_size_cm
calibration7/cam1/frame_111.jpg,calibration7/cam2/frame_111.jpg,273.96,134.21712226867677,125.77815685272218,22
calibration7/cam1/frame_112.jpg,calibration7/cam2/frame_112.jpg,272.88,134.49224624633788,126.46074829101563,22
calibration7/cam1/frame_113.jpg,calibration7/cam2/frame_113.jpg,261.83,135.47093353271484,127.28383712768554,22
calibration7/cam1/frame_114.jpg,calibration7/cam2/frame_114.jpg,258.14,134.54686660766603,128.10444717407228,22
calibration7/cam1/frame_115.jpg,calibration7/cam2/frame_115.jpg,254.94,135.55678882598878,128.07328834533692,22
calibration7/cam1/frame_116.jpg,calibration7/cam2/frame_116.jpg,252.59,132.5260871887207,127.98169269561768,22
calibration7/cam1/frame_117.jpg,calibration7/cam2/frame_117.jpg,250.78,136.48236694335938,127.30241718292237,22
calibration7/cam1/frame_118.jpg,calibration7/cam2/frame_118.jpg,234.73,133.70088157653808,130.83257331848145,22
calibration7/cam1/frame_119.jpg,calibration7/cam2/frame_119.jpg,229.52,133.3517526626587,127.48697834014892,22
calibration7/cam1/frame_120.jpg,calibration7/cam2/frame_120.jpg,222.21,132.06306438446046,127.5794002532959,22
calibration7/cam1/frame_121.jpg,calibration7/cam2/frame_121.jpg,225.01,126.87434749603271,126.61555309295655,22
calibration7/cam1/frame_122.jpg,calibration7/cam2/frame_122.jpg,227.26,128.503902053833,124.98217163085938,22
calibration7/cam1/frame_123.jpg,calibration7/cam2/frame_123.jpg,226.85,126.96052894592286,127.33074932098388,22
calibration7/cam1/frame_124.jpg,calibration7/cam2/frame_124.jpg,219.39,127.40247116088868,126.31346683502197,22
calibration7/cam1/frame_125.jpg,calibration7/cam2/frame_125.jpg,222.72,129.08922271728517,127.13120670318604,22
calibration7/cam1/frame_126.jpg,calibration7/cam2/frame_126.jpg,224.89,126.6663356781006,127.70223083496094,22
calibration7/cam1/frame_127.jpg,calibration7/cam2/frame_127.jpg,220.10,126.02726440429687,129.44036293029785,22
calibration7/cam1/frame_128.jpg,calibration7/cam2/frame_128.jpg,219.94,126.00357456207276,126.61924953460694,22
calibration7/cam1/frame_129.jpg,calibration7/cam2/frame_129.jpg,234.96,125.64881401062011,121.33576240539551,22
calibration7/cam1/frame_130.jpg,calibration7/cam2/frame_130.jpg,236.78,125.94317035675049,123.45150775909424,22
calibration7/cam1/frame_131.jpg,calibration7/cam2/frame_131.jpg,235.97,126.20852050781251,124.76009159088134,22
calibration7/cam1/frame_132.jpg,calibration7/cam2/frame_132.jpg,230.37,126.7330129623413,124.00868110656738,22
calibration7/cam1/frame_133.jpg,calibration7/cam2/frame_133.jpg,223.06,127.05896301269532,123.77446804046632,22
calibration7/cam1/frame_134.jpg,calibration7/cam2/frame_134.jpg,223.92,127.60291614532471,124.50889663696289,22
calibration7/cam1/frame_135.jpg,calibration7/cam2/frame_135.jpg,227.79,130.08544635772705,123.20029106140137,22
calibration7/cam1/frame_136.jpg,calibration7/cam2/frame_136.jpg,224.68,130.34199028015138,124.31545314788819,22
